Point	Potential(mV)	Current(microAmp)
517	-170.447692275047	-178.765229065903
518	-165.451675653458	-176.673129317351
519	-160.455673933029	-174.612257978879
520	-155.381605029106	-172.488929820247
521	-150.463655591011	-170.365601661615
522	-145.467653870583	-168.211059644818
523	-140.39358496666	-166.056503076106
524	-135.475635528564	-163.870718097314
525	-130.401566624641	-161.622490850277
526	-125.405564904213	-159.40549201332
527	-120.409555733204	-157.157264766283
528	-115.413546562195	-154.877809109166
529	-110.4955971241	-152.567139593884
530	-105.421528220177	-150.287683936767
531	-100.425526499748	-147.914557601325
532	-95.351450145245	-145.541416713968
533	-90.355448424816	-143.168290378526
534	-85.437498986721	-140.795164043084
535	-80.441497266293	-138.390809297562
536	-75.523547828198	-135.955226141959
537	-70.371419191361	-133.488414576277
538	-65.453469753265	-131.02161756251
539	-60.379404574633	-128.554805996828
540	-55.461462587118	-126.056780572981
541	-50.387389957905	-123.527526739053
542	-45.547507703304	-121.029486763291
543	-40.395375341177	-118.500232929364
544	-35.399369895458	-115.970979095437
545	-30.403362587094	-113.410496851429
546	-25.48541687429	-110.850014607422
547	-20.489409565926	-108.289532363415
548	-15.493401326239	-105.729050119407
549	-10.419332422316	-103.13733946532
550	-5.423325113952	-100.54563608719
551	-0.427317572758	-97.953925433103
552	4.568689502776	-95.393443189096
553	9.564697742462	-92.801739810966
554	14.560704119504	-90.210029156879
555	19.556710496545	-87.618318502791
556	24.630781263113	-85.026615124662
557	29.626786708832	-82.403683336452
558	34.544732421637	-79.843201092444
559	39.61880132556	-77.282718848437
560	44.614810496569	-74.72223660443
561	49.610815942287	-72.161754360423
562	54.528761655092	-69.570043706335
563	59.602830559015	-66.978340328205
564	64.598843455315	-64.449079218321
565	69.594852626324	-61.888596974313
566	74.590854346752	-59.328118368285
567	79.586863517761	-56.798860896379
568	84.58287268877	-54.20715388027
569	89.578881859779	-51.677896408364
570	94.574883580208	-49.148642574437
571	99.570892751217	-46.556935558328
572	104.566901922226	-43.965224904241
573	109.640970826149	-41.404746298213
574	114.558912813663	-38.813035644125
575	119.711048901081	-36.190103855915
576	124.550923705101	-33.567172067706
577	129.625007510185	-30.881787097314
578	134.621009230614	-28.227630537003
579	139.617010951042	-25.47979602241
580	144.691079854965	-22.763186279917
581	149.60902929306	-20.015351765323
582	154.605031013489	-17.142616343335
583	159.601047635078	-14.269880011852
584	164.597049355507	-11.334693226672
585	169.593065977097	-8.368281669391
586	174.51100051403	-5.308193522069
587	179.585069417953	-2.185654238929
588	184.581086039543	0.999335497909
589	189.655154943466	4.278001597413
590	194.651156663895	7.587892923766
591	199.647158384323	11.022685612261
592	204.643175005913	14.551154890796
593	209.561124444008	18.17329939513
594	214.635193347931	21.920346625848
595	219.553127884865	25.761069991859
596	224.549144506454	29.664242902072
597	229.623213410378	33.785996492952
598	234.619215130806	37.938971217955
599	239.537164568901	42.341751395725
600	244.689300656319	46.806984755676
601	249.607235193253	51.490791520337
602	254.525184631348	56.299501011381
603	259.521186351776	61.295562773012
604	264.517188072205	66.510205215309
605	269.669324159622	71.880967880134
606	274.587273597717	77.470314863604
607	279.661357402802	83.247010479681
608	284.579277038574	89.273511548527
609	289.653360843658	95.487368525937
610	294.571310281754	101.951023680158
611	299.645364284515	108.726933831349
612	304.56331372261	115.658971481025
613	309.559315443039	122.903264127672
614	314.633399248123	130.397354951128
615	319.629400968552	138.07880168315
616	324.62540268898	146.072503412142
617	329.543352127075	154.316003317945
618	334.539353847504	162.809301400557
619	339.535355567932	171.614869032055
620	344.68749165535	180.639006430283
621	349.605441093445	189.912942005321
622	354.601442813873	199.499147129245
623	359.675526618958	209.241465199739
624	364.515393972397	219.264809857123
625	369.667530059814	229.444296564907
626	374.663561582565	239.873566897586
627	379.581481218338	250.521406996995
628	384.577512741089	261.387845966965
629	389.651566743851	272.441626293585
630	394.647568464279	283.589091850445
631	399.643570184708	294.892699457705
632	404.561519622803	306.414876831695
633	409.557521343231	317.999481922016
634	414.631605148315	329.709000652656
635	419.627606868744	341.480976203457
636	424.623608589172	353.346636984497
637	429.619640111923	365.181040251628
638	434.615641832352	377.109157852829
639	439.61164355278	388.943561119959
640	444.529592990875	400.809221901
641	449.603646993637	412.67485357821
642	454.677730798721	424.41560071893
643	459.595680236816	436.031463323161
644	464.591681957245	447.584840003401
645	469.665735960007	458.919676020741
646	474.661767482758	470.129598397762
647	479.57968711853	481.089693494141
648	484.575718641281	491.862476337701
649	489.57172036171	502.35417438671
650	494.645774364471	512.564904056489
651	499.6417760849	522.463349625468
652	504.559755325317	532.080768607557
653	509.555757045746	541.261048056185
654	514.62984085083	550.160242710263
655	519.547760486603	558.55989921838
656	524.621844291687	566.553615499288
657	529.617846012115	574.110134039074
658	534.535765647888	581.16705622524
659	539.609849452972	587.724382057786
660	544.605851173401	593.782111536711
661	549.601852893829	599.309045355767
662	554.597854614258	604.305067099631
663	559.593856334686	608.707894571126
664	564.667940139771	612.517353147268
665	569.663941860199	615.796016063541
666	574.659943580627	618.481426499784
667	579.655945301056	620.573526248336
668	584.652006626129	622.041116002947
669	589.648008346558	622.946652583778
670	594.644010066986	623.290135990828
671	599.640011787415	623.040308710188
672	604.636013507843	622.259685769677
673	609.632015228271	620.917009655386
674	614.6280169487	619.074678979814
675	619.624018669128	616.701552644372
676	624.698102474213	613.89128677547
677	629.694104194641	610.612623859197
678	634.69010591507	606.928020715714
679	639.686107635498	602.83747734502
680	644.604086875916	598.434708081186
681	649.678111076355	593.657256104052
682	654.674172401428	588.598719332367
683	659.748196601868	583.290413487703
684	664.744198322296	577.825936488807
685	669.740200042725	572.080491110682
686	674.736261367798	566.210132092237
687	679.732263088226	560.214859433472
688	684.728264808655	554.125872440636
689	689.724266529083	547.974486835301
690	694.642186164856	541.760644409806
691	699.71626996994	535.54680198431
692	704.712271690369	529.301702044904
693	709.708273410797	523.087859619409
694	714.626252651215	516.936415806413
695	719.622254371643	510.722573380917
696	724.696338176727	504.696101415902
697	729.692339897156	498.700828757137
698	734.688341617584	492.799212224782
699	739.684343338013	486.897624796256
700	744.758427143097	481.183378724381
701	749.67634677887	475.500361062586
702	754.672348499298	469.910999527201
703	759.746432304382	464.477780042216
704	764.742434024811	459.200702607632
705	769.738435745239	453.923596069217
706	774.656355381012	448.802631581202
707	779.730439186096	443.775352323428
708	784.726440906525	438.872957602143
709	789.722442626953	434.064248111099
710	794.718444347382	429.380452260375
711	799.714505672455	424.759084125981
712	804.632425308228	420.262629631907
713	809.706509113312	415.891088778153
714	814.70251083374	411.581975640729
715	819.620430469513	407.366547733545
716	824.694514274597	403.307261876762
717	829.768598079681	399.310403736308
718	834.686517715454	395.407230826095
719	839.682519435883	391.597714042291
720	844.678521156311	387.881911592558
721	849.674582481384	384.259765269235
722	854.670584201813	380.668847355992
723	859.666585922241	377.140386262909
724	864.66258764267	373.768038116395
725	869.736671447754	370.426918379962
726	874.654591083527	367.17948387377
727	879.728674888611	363.994477083907
728	884.724676609039	360.871956218034
729	889.642596244812	357.811863068491
730	894.716680049896	354.845455149189
731	899.712681770325	351.941474946216
732	904.708683490753	349.131209077314
733	909.704685211182	346.320914104581
734	914.70068693161	343.573075952008
735	919.696748256683	340.918923029676
736	924.692749977112	338.295998517424
737	929.766774177551	335.735501721501
738	934.76277589798	333.206262439489
739	939.680755138397	330.770679283887
740	944.676756858826	328.397523844615
741	949.672758579254	325.993169099092
742	954.746842384338	323.713727993891
743	959.742844104767	321.434286888689
744	964.816927909851	319.248501909897
745	969.734847545624	317.062716931105
746	974.730849266052	314.908160362393
747	979.726850986481	312.878517434001
748	984.722852706909	310.817646095529
749	989.718854427338	308.788003167138
750	994.714915752411	306.820787955076
751	999.710917472839	304.884830256924
752	995.417475700378	299.076898954809
753	990.343391895294	295.891892164946
754	985.425412654877	293.081626296043
755	980.429410934448	290.458701783791
756	975.355386734009	288.023118628189
757	970.35938501358	285.618763882667
758	965.285301208496	283.308065263554
759	960.367321968079	281.091080978513
760	955.37132024765	278.967752819881
761	950.453400611877	276.875653071329
762	945.301234722137	274.845981039107
763	940.383315086365	272.785109700635
764	935.387313365936	270.880380412564
765	930.391311645508	268.913165200502
766	925.395309925079	267.03963521868
767	920.321226119995	265.228562057018
768	915.325224399567	263.355061179027
769	910.329222679138	261.575216427445
770	905.33322095871	259.826570982113
771	900.337219238281	258.140411460772
772	895.263135433197	256.360566709191
773	890.34515619278	254.674378084019
774	885.349154472351	253.019446972758
775	880.353152751923	251.333287451416
776	875.357151031494	249.678327236325
777	870.361149311066	248.085823841393
778	865.287065505981	246.493349550292
779	860.44716835022	244.86961774528
780	855.37314414978	243.277143454179
781	850.299060344696	241.715868469328
782	845.459163188934	240.154593484476
783	840.307056903839	238.62456146162
784	835.311055183411	237.063286476769
785	830.393075942993	235.533239901997
786	825.397074222565	234.003193327226
787	820.32299041748	232.504375162534
788	815.326988697052	230.943114729598
789	810.330986976624	229.444296564907
790	805.334985256195	227.945478400216
791	800.417065620422	226.446660235524
792	795.421063899994	224.916613660753
793	790.34698009491	223.417795496061
794	785.350978374481	221.950191189535
795	780.354976654053	220.451373024844
796	775.358974933624	218.921341001987
797	770.440995693207	217.422508285381
798	765.366911888123	215.92369012069
799	760.370910167694	214.393658097833
800	755.374908447266	212.863611523062
801	750.378906726837	211.302336538211
802	745.382905006409	209.772289963439
803	740.308821201324	208.242257940583
804	735.390901565552	206.680982955731
805	730.316817760468	205.11970797088
806	725.320816040039	203.527219127864
807	720.402836799622	201.934715732932
808	715.328812599182	200.310998479836
809	710.332810878754	198.718509636819
810	705.414831638336	197.126006241888
811	700.340747833252	195.471060578711
812	695.344746112823	193.78490105737
813	690.270721912384	192.098726984113
814	685.274660587311	190.381324500777
815	680.356740951538	188.69515042752
816	675.36073923111	186.884077265859
817	670.286655426025	185.166689334437
818	665.290653705597	183.386844582856
819	660.294651985168	181.544543011114
820	655.29865026474	179.733469849452
821	650.380671024323	177.859939867631
822	645.306646823883	175.955196027644
823	640.310645103455	174.050452187657
824	635.392665863037	172.145693795756
825	630.318582057953	170.147279277444
826	625.244557857513	168.180078617297
827	620.326578617096	166.15042113699
828	615.330576896667	164.120778208598
829	610.334575176239	161.966221639886
830	605.260491371155	159.874121891335
831	600.342571735382	157.719565322623
832	595.346570014954	155.565023305826
833	590.350568294525	153.410466737114
834	585.276484489441	151.162239490077
835	580.280482769012	148.91401224304
836	575.362503528595	146.603328175843
837	570.366501808167	144.292658660561
838	565.214395523071	141.950746183284
839	560.37449836731	139.577619847842
840	555.378496646881	137.173265102319
841	550.304412841797	134.768910356797
842	545.308411121368	132.302098791115
843	540.31240940094	129.804073367268
844	535.316407680511	127.337261801586
845	530.320405960083	124.839236377738
846	525.324404239655	122.278754133731
847	520.328402519226	119.718271889724
848	515.332400798798	117.157789645717
849	510.336399078369	114.566078991629
850	505.340337753296	111.911918793339
851	500.344336032867	109.351436549332
852	495.348334312439	106.728504761122
853	490.352332592011	104.105572972912
854	485.356330871582	101.451412774622
855	480.204194784164	98.79725985229
856	475.286245346069	96.17432806408
857	470.368325710297	93.551388999913
858	465.294241905212	90.897236077581
859	460.298240184784	88.305525423493
860	455.302238464355	85.651365225203
861	450.306206941605	83.059661847074
862	445.310205221176	80.467951192986
863	440.314203500748	77.907468948979
864	435.318201780319	75.315765570849
865	430.322200059891	72.755283326842
866	425.32616853714	70.194801082835
867	420.408248901367	67.69676838303
868	415.25611281395	65.229964093305
869	410.416215658188	62.763159803581
870	405.26407957077	60.296351875877
871	400.346159934998	57.891997130355
872	395.350128412247	55.518867156934
873	390.276074409485	53.176961955614
874	385.35812497139	50.866285164375
875	380.284041166306	48.524379963055
876	375.209987163544	46.276152716018
877	370.292037725449	44.027921831003
878	365.29603600502	41.810919356067
879	360.378086566925	39.56269210903
880	355.304032564163	37.345689634094
881	350.151896476746	35.191136703361
882	345.311999320984	32.974134228425
